gene,score,logfoldchange,pval,pval_adj,significant
PFN1,6.528658,0.2290323,6.636151957478754e-11,4.917072593255686e-08,True
GBP5,6.521393,0.32887715,6.965751124280216e-11,5.0412598834325654e-08,True
S100A6,6.4828744,0.22168541,8.999152764049674e-11,6.364855318573315e-08,True
RPL41,6.459756,0.15660867,1.0487184706687728e-10,7.252470846047158e-08,True
PTMA,6.4313684,0.13830799,1.2646043347185883e-10,8.555323238357058e-08,True
IRS2,-6.4215364,-0.25661257,1.349055252962323e-10,8.93246797280585e-08,True
CYBA,6.3896627,0.18098697,1.6625221934548391e-10,1.0778685554232207e-07,True
EEF1A1,6.3105726,0.13304336,2.7800513057224967e-10,1.765616257838451e-07,True
FLNA,6.280981,0.19118252,3.364431945616454e-10,2.0805710982839642e-07,True
IKZF3,6.278904,0.2883736,3.409676285748142e-10,2.0805710982839642e-07,True
PELI1,-6.241028,-0.20858315,4.347042664127936e-10,2.552452220899271e-07,True
RPL28,6.2421336,0.17081833,4.3164236818986193e-10,2.552452220899271e-07,True
ARL4C,6.2193995,0.27326897,4.990614102812159e-10,2.876072423694711e-07,True
EEF2,6.1713734,0.21306846,6.769926790022448e-10,3.830547667372702e-07,True
IL32,6.1514664,0.2662366,7.676977348691648e-10,4.2662059837729303e-07,True
SP100,6.0994616,0.15314625,1.0642636922897432e-09,5.710325190354622e-07,True
RUNX3,6.0996947,0.24245863,1.0627116697215918e-09,5.710325190354622e-07,True
OAZ1,6.0078087,0.22452728,1.8804751805175517e-09,9.918709765712917e-07,True
UTRN,5.974846,0.0996153,2.3030770914267384e-09,1.1945293180866684e-06,True
RPL37A,5.9222116,0.15793659,3.176402199314892e-09,1.6204858433226139e-06,True
TGFBR3,5.9177637,0.31632173,3.2634822573229963e-09,1.6380575459337364e-06,True
PTEN,-5.890626,-0.1401811,3.847354104319311e-09,1.900470789308206e-06,True
EFHD2,5.882571,0.2770641,4.0394188055163626e-09,1.9339494342718342e-06,True
CYTIP,-5.884185,-0.112203784,4.000204538771316e-09,1.9339494342718342e-06,True
PRF1,5.8796353,0.3955744,4.111716046854053e-09,1.9387364148196686e-06,True
MYBPC1,-5.7824373,-0.40426275,7.362598848907955e-09,3.4197623310151573e-06,True
RPS12,5.7418227,0.16545211,9.366280345907417e-09,4.286450652421159e-06,True
ACTG1,5.723106,0.18382786,1.0459392050199972e-08,4.717337400032219e-06,True
GAPDH,5.7189283,0.21304138,1.071979234610876e-08,4.765713397298638e-06,True
PTP4A2,5.70524,0.16756019,1.1617932748511734e-08,5.092254466671622e-06,True
GNAI2,5.6683936,0.18546754,1.4414233740035375e-08,6.154767391683492e-06,True
RPL36,5.668116,0.17964156,1.4437597030620017e-08,6.154767391683492e-06,True
USP3,-5.6586366,-0.08582286,1.5258034727547635e-08,6.416622171909222e-06,True
S100A4,5.6500573,0.17485978,1.6039414725450978e-08,6.655287816747126e-06,True
ITGB2,5.5495424,0.17883828,2.8641857153555526e-08,1.1728086771298e-05,True
GBP2,5.538054,0.19803295,3.058513703989777e-08,1.2202685444636137e-05,True
SLFN12L,5.5393157,0.2303733,3.036554545084106e-08,1.2202685444636137e-05,True
STK17B,-5.5327935,-0.11328805,3.151705138502651e-08,1.2415324545595255e-05,True
TC2N,5.4954343,0.23703934,3.8975036060714165e-08,1.516128902761781e-05,True
GPCPD1,-5.412731,-0.10472326,6.207064930193664e-08,2.3847390200941586e-05,True
GZMA,5.4078417,0.4200966,6.378876127346142e-08,2.4208612815001455e-05,True
DDX60L,5.3993382,0.22524993,6.688720555265787e-08,2.5078672732514612e-05,True
RPL27A,5.3961353,0.15322678,6.809152381680367e-08,2.5226288347368215e-05,True
STAT2,5.3597403,0.33878833,8.334159662107614e-08,3.0512829257033994e-05,True
ARPC1B,5.3386955,0.17702526,9.361765043805644e-08,3.387652653060833e-05,True
SYNE1,5.2552495,0.18567877,1.4782375989884308e-07,5.287672882818387e-05,True
TYMP,5.227008,0.21816456,1.722753179937024e-07,6.0922816999591126e-05,True
RPL13A,5.2225046,0.12654088,1.765190880372408e-07,6.172217999684195e-05,True
ARAP2,5.2018595,0.159094,1.9730442607338253e-07,6.747377735608423e-05,True
RPL23A,5.202343,0.15446493,1.9679183753995624e-07,6.747377735608423e-05,True
DNAJC1,5.174705,0.1718511,2.2827146079057563e-07,7.721530282394254e-05,True
PSME1,5.1698503,0.36231098,2.3428175872221777e-07,7.839621861758513e-05,True
ZCCHC2,5.137677,0.20603342,2.781554537615907e-07,9.208720979851812e-05,True
MTRNR2L1,-5.1110296,-0.34862205,3.204075899745725e-07,0.00010495878105272312,True
DDX60,5.102482,0.40869975,3.3522789373937813e-07,0.00010866970888718174,True
SYNE2,5.1002436,0.19102699,3.3921678749178525e-07,0.00010882913842004491,True
RPS27,5.0887227,0.13255307,3.604831867397972e-07,0.00011447180378920907,True
RPL39,5.0828295,0.16352087,3.718533192218738e-07,0.00011688964943620921,True
MT-CO3,5.0731797,0.052489173,3.912223235733314e-07,0.00012174838709602072,True
MYO1F,5.04373,0.15583262,4.565443770068308e-07,0.00014066991101438194,True
RNF144B,-5.037932,-0.23542465,4.705882498672953e-07,0.0001435755523124532,True
CD55,-5.032575,-0.12752563,4.839354001930585e-07,0.00014621426848551437,True
GNAQ,-5.0050206,-0.14071089,5.585599753252789e-07,0.00016713833107810268,True
FKBP5,-4.9683948,-0.114025734,6.75093903429119e-07,0.0001997373939039209,True
UBA52,4.9668937,0.16168351,6.803394522434323e-07,0.0001997373939039209,True
IRF1,4.9632564,0.15712893,6.932091032171962e-07,0.0002016137130104593,True
OSBPL8,-4.9276557,-0.10323535,8.322202344363275e-07,0.0002398027194042455,True
RPL7A,4.9179225,0.15341794,8.746754618162272e-07,0.00024942209154774715,True
RPLP1,4.916371,0.12697351,8.816333570132451e-07,0.00024942209154774715,True
AF165147.1,4.9105277,0.3337442,9.083154199119313e-07,0.00025465563844738107,True
BACH1,-4.9016356,-0.14955637,9.504206980738643e-07,0.0002640811796790951,True
RPLP2,4.89465,0.13640854,9.848081349783476e-07,0.00027121441734978915,True
RPL34,4.880698,0.13095547,1.0571084222006353e-06,0.00028857205349898043,True
RPL3,4.8652906,0.13648066,1.1428872007705114e-06,0.00030927521467807227,True
MYBL1,4.85631,0.27731612,1.1959358248299915e-06,0.0003208407143854253,True
MACF1,4.8518105,0.12677354,1.2233961113565138e-06,0.0003254024528667924,True
SERINC5,-4.828715,-0.17488073,1.3741694488769275e-06,0.0003624080783817795,True
IFIT3,4.819784,3.9952538,1.437135363174817e-06,0.0003758290126218513,True
RPS8,4.809821,0.14335604,1.5106539860712494e-06,0.000391762933721144,True
GALNT10,4.782984,0.2024308,1.7271217462797314e-06,0.0004421631199744769,True
PPP2R2B,4.782253,0.2745108,1.7334158302341318e-06,0.0004421631199744769,True
CARD11,4.768526,0.24694815,1.8557883248086218e-06,0.00046678663146791394,True
MTRNR2L8,-4.768075,-0.13106024,1.859946732070094e-06,0.00046678663146791394,True
ZNFX1,4.719726,0.19408233,2.3616256827711546e-06,0.0005832840575225264,True
HERC5,4.7198143,0.40086406,2.36059812946184e-06,0.0005832840575225264,True
ZC3HAV1,4.714492,0.13746817,2.4231454470013683e-06,0.0005937660339423826,True
RPS28,4.7109604,0.13136731,2.4655216158836202e-06,0.0005994299428617052,True
TIAM1,-4.7019553,-0.2236217,2.5768162466904385e-06,0.0006216319503643911,True
SAMSN1,-4.696908,-0.17533308,2.64129120495181e-06,0.0006322844792161564,True
RPS24,4.692038,0.13941254,2.704970357995256e-06,0.0006425853247390257,True
ITGA4,4.6859713,0.14193161,2.7863540278533e-06,0.0006569040708090508,True
MSN,4.683782,0.13637738,2.8162963257504163e-06,0.0006589709899049094,True
RPL18,4.680583,0.14070088,2.8606038515396297e-06,0.0006643432228351737,True
RPL4,4.6674185,0.14347614,3.050078377046909e-06,0.0006979296992183809,True
GNLY,4.668196,0.26970807,3.0385594461245364e-06,0.0006979296992183809,True
ERN1,4.65529,0.20283563,3.235251805809932e-06,0.000734898074429234,True
LY6E,4.6343,0.40782264,3.581471191207062e-06,0.0008032851809956848,True
KLRG1,4.633927,0.3371851,3.587938308431883e-06,0.0008032851809956848,True
C5orf56,4.6210184,0.16801023,3.8186102386484734e-06,0.0008452410468969689,True
TMEM181,4.620419,0.16216281,3.829658984976627e-06,0.0008452410468969689,True
CORO1A,4.5861487,0.16026694,4.5149729249181435e-06,0.000989478573404596,True
KLRD1,4.576205,0.41542765,4.734874326452344e-06,0.0010304146086657128,True
ATP2B4,4.568853,0.20033807,4.904002981555889e-06,0.0010598095332362448,True
PYHIN1,4.542845,0.21555372,5.550014470967409e-06,0.00118864382753258,True
FAU,4.5418396,0.13196476,5.576542378526886e-06,0.00118864382753258,True
UBC,4.540342,0.1490245,5.616306989228146e-06,0.001188976010236598,True
ATP5F1E,4.5371933,0.17540333,5.700788518871425e-06,0.0011987063426167482,True
RPSA,4.5349884,0.14110024,5.760667485426362e-06,0.0012031675982984455,True
ARL6IP5,4.530741,0.16459617,5.877707615088378e-06,0.0012167288482622246,True
RPS6,4.5298057,0.12008622,5.90379357607956e-06,0.0012167288482622246,True
SPN,4.519614,0.22895065,6.195243849883587e-06,0.0012683946618972186,True
ASAP1,-4.506696,-0.13454694,6.584484333374212e-06,0.0013392755062392515,True
GBP4,4.466579,0.39169183,7.948025034619491e-06,0.0015754301852061055,True
TLN1,4.4673843,0.15259439,7.91818013923024e-06,0.0015754301852061055,True
LINC01619,-4.4691825,-0.08654944,7.85191434976496e-06,0.0015754301852061055,True
LAP3,4.4703574,0.32736963,7.808905658123329e-06,0.0015754301852061055,True
NLRC5,4.4606133,0.14549564,8.17255377522322e-06,0.0016096827435756115,True
CSGALNACT2,-4.4165244,-0.11142521,1.0030062282066939e-05,0.001952444977709082,True
SP140L,4.416347,0.20126767,1.0038277520355176e-05,0.001952444977709082,True
TRBC2,4.4124517,0.22662754,1.0220647124534533e-05,0.001975568562208166,True
RPS21,4.3977323,0.1401966,1.093878291576962e-05,0.002101326693449078,True
XRN1,4.3820615,0.10231184,1.1756169585989137e-05,0.0022444907823066375,True
RPL31,4.3771706,0.13734663,1.2022980969131068e-05,0.0022814339497521877,True
RPL10,4.3738303,0.120603226,1.220851718095117e-05,0.0023026003313406087,True
ARHGEF3,4.3671846,0.13936603,1.2585820443230346e-05,0.002331373405912669,True
RPL8,4.369349,0.12986799,1.2461745475789744e-05,0.002331373405912669,True
C6orf62,4.367979,0.16022928,1.2540141968157333e-05,0.002331373405912669,True
OAS3,4.3567657,1.0858961,1.3199829773738471e-05,0.0024306432104067525,True
RPL38,4.348017,0.13423337,1.3737390189831982e-05,0.002514750486515125,True
LRMDA,-4.322213,-0.18986894,1.5447179134785333e-05,0.0028112059337691204,True
EEF1D,4.318294,0.14137544,1.5723987391160444e-05,0.0028449446954239128,True
HMGB1,4.3096685,0.10810106,1.6349951390921003e-05,0.0029411010825749224,True
SSH2,-4.3069015,-0.05947512,1.6555745897248375e-05,0.0029610046685193646,True
CAPN2,4.305121,0.16814798,1.6689440126190453e-05,0.002967859295583125,True
BTN3A1,4.289381,0.19317114,1.7917188837215736e-05,0.0031680847534895098,True
MPP7,-4.2729635,-0.13199878,1.9289204878545262e-05,0.0033297153798786117,True
JDP2,-4.2720747,-0.2439585,1.936627518502663e-05,0.0033297153798786117,True
C1orf21,4.273937,0.2885184,1.920510518997644e-05,0.0033297153798786117,True
LRRC8B,-4.275604,-0.1766275,1.9061994802521642e-05,0.0033297153798786117,True
RPS2,4.275787,0.11665815,1.9046338342163474e-05,0.0033297153798786117,True
OAS2,4.2705183,0.59222764,1.9501932881074857e-05,0.0033346162157090638,True
RPL37,4.2577186,0.124531075,2.065237451912143e-05,0.0035120322133063327,True
RPL27,4.252358,0.1502261,2.1153160209416895e-05,0.003577643183244858,True
RORA,4.2507796,0.16841565,2.130275698725518e-05,0.0035834691753696283,True
MAML3,-4.233172,-0.18340813,2.3041812267492432e-05,0.0037542471087139502,True
TOMM7,4.233286,0.18055707,2.3030165896223267e-05,0.0037542471087139502,True
TLE5,4.2332606,0.180753,2.3032739874852956e-05,0.0037542471087139502,True
EMP3,4.2375445,0.16038089,2.2597749575383853e-05,0.0037542471087139502,True
NCALD,4.2332115,0.2021728,2.3037766050739515e-05,0.0037542471087139502,True
MAP3K1,-4.235719,-0.10907753,2.278215078909024e-05,0.0037542471087139502,True
SNX9,-4.2257414,-0.16262932,2.3815520372408614e-05,0.003860098927027896,True
SLC9A3R1,4.2207456,0.27700448,2.4349556985338673e-05,0.00391799171559819,True
CCSER2,4.2188935,0.13449767,2.455039796084984e-05,0.00391799171559819,True
ADAR,4.2198653,0.13814746,2.4444851560978103e-05,0.00391799171559819,True
ZDHHC20,-4.205691,-0.089676894,2.6028578635214422e-05,0.004132700852693228,True
PSME2,4.1935,0.3179836,2.746828547925011e-05,0.00433915250819423,True
KCNQ1,-4.189404,-0.19286887,2.79688177970656e-05,0.0043959071204276836,True
CD52,4.182423,0.15484871,2.8841837196033626e-05,0.004510341575580736,True
DPYD,-4.1806297,-0.0697514,2.9070261364309974e-05,0.0045233326682866315,True
RPS11,4.1589856,0.10763334,3.1966381276852645e-05,0.004920363440594858,True
ANK3,4.158311,0.27936172,3.206092924320532e-05,0.004920363440594858,True
GZMH,4.1580596,0.37095535,3.20962011067081e-05,0.004920363440594858,True
SAMD9,4.1532097,0.30757317,3.278438485664169e-05,0.005001225768326909,True
RPS15,4.13492,0.11733727,3.5507801422441835e-05,0.005373124074212307,True
CD74,4.134534,0.14491774,3.556759509279355e-05,0.005373124074212307,True
RPS27A,4.1324987,0.11224813,3.588406460806082e-05,0.005394744399047598,True
NPC1,4.1306744,0.15859671,3.617006095547782e-05,0.00541159758141572,True
RPL35,4.124376,0.12725176,3.717417667907883e-05,0.005535217120827432,True
AGFG1,-4.1089334,-0.11027614,3.9749086987049395e-05,0.005890436128747511,True
CTSC,4.1019406,0.19405952,4.09699322656064e-05,0.0060425795834392,True
PILRB,4.0953965,0.25543892,4.2144611693563764e-05,0.006186510924074077,True
DNAJB14,4.0932493,0.13098542,4.25370008022228e-05,0.006214795610165134,True
ZBTB38,4.087386,0.20031989,4.362609201986043e-05,0.006344130764757275,True
RPL36A,4.075602,0.12159369,4.589544845884379e-05,0.006643099330414971,True
RPL23,4.0680747,0.11927621,4.740319006962258e-05,0.006829570717438216,True
CLEC2B,4.054436,0.15500969,5.02553201974574e-05,0.007207122417257485,True
IRF9,4.050704,0.3220091,5.106380830058975e-05,0.007289475753735565,True
SYTL2,4.0455585,0.24692987,5.2198558850495656e-05,0.007417439047613813,True
DRAP1,4.040799,0.42020273,5.326932784603051e-05,0.007535188557129407,True
GNAS,4.036173,0.12194908,5.433014368270019e-05,0.007650470911337692,True
STAT4,4.033803,0.16258623,5.4881304776417325e-05,0.007693271192081563,True
VMP1,-4.03027,-0.10548239,5.571274193363392e-05,0.007774800578361827,True
SET,4.02769,0.15296528,5.632758596330196e-05,0.007825511049901594,True
RPL11,4.0012903,0.10548829,6.299804161129648e-05,0.008713329133082428,True
ACTN1,-3.9997015,-0.24678384,6.342244250291627e-05,0.008728293877942203,True
MTMR3,-3.9987898,-0.12661166,6.366718220735477e-05,0.008728293877942203,True
RBM47,-3.9924457,-0.18394572,6.539532659355775e-05,0.0089258884368049,True
RPL18A,3.98976,0.1194628,6.614022339661714e-05,0.008988138655470415,True
USP15,-3.9798818,-0.056725565,6.8949577290239e-05,0.009329177588140164,True
KAT2B,3.9657135,0.15535435,7.317674172120317e-05,0.00985826927430235,True
MTMR6,-3.9581525,-0.17135505,7.55317134163121e-05,0.010131667765153589,True
LPIN2,3.9525752,0.17125781,7.731461615565903e-05,0.010326312681391026,True
RABGAP1L,3.9495842,0.08670082,7.828701562631291e-05,0.010379849374650736,True
SP140,3.9492924,0.22070949,7.838253865819161e-05,0.010379849374650736,True
CPQ,-3.9336011,-0.12218956,8.368256234945168e-05,0.011034751442012441,True
PNPT1,3.93115,0.3504007,8.454051833425894e-05,0.011100847808279064,True
ID2,3.9275346,0.16022149,8.582107171358259e-05,0.011221646015658362,True
WDFY2,-3.9240282,-0.1144625,8.708055596134654e-05,0.011338689964506713,True
CD84,3.9202332,0.20828316,8.846326841884809e-05,0.011470737138310635,True
RPL13,3.9125254,0.08992456,9.133595353964146e-05,0.011794086614745403,True
MT-ND2,3.9098167,0.03977546,9.236613908486861e-05,0.011877827472401287,True
TMBIM6,3.9037106,0.12735951,9.472900714213501e-05,0.012131550215075068,True
TTC7A,-3.901202,-0.14057015,9.571624897256293e-05,0.012207744541090814,True
PLCL1,-3.8977768,-0.22194439,9.707980923841404e-05,0.012331116993875285,True
SLFN5,3.892154,0.17870365,9.935811990004912e-05,0.012569206062152557,True
TRGC2,3.8824399,0.3551099,0.0001034136361425759,0.013029280796586893,True
RPS3,3.8704345,0.10949659,0.00010864154719177749,0.013632761889548853,True
MT-ATP6,3.855996,0.04995332,0.0001152594356327258,0.014405115007592078,True
NACA,3.8491073,0.12992722,0.00011854905420790117,0.014756986267799537,True
HIPK3,-3.8448927,-0.12078363,0.00012060523372163122,0.014953126985725752,True
MCTP2,3.8341005,0.17591384,0.00012602463870157242,0.015517999794854409,True
CHD9,3.8329113,0.1324188,0.0001266356316312406,0.015517999794854409,True
HERC6,3.8328695,0.37144262,0.0001266571962690559,0.015517999794854409,True
PSMB9,3.8301787,0.2341495,0.00012805015798608694,0.01562714084912559,True
CD2,3.82773,0.18888953,0.0001293305468696189,0.01572174460383805,True
HLA-F,3.8180192,0.1428972,0.00013452743517531975,0.0162898590764823,True
TMEM123,3.8078456,0.118159644,0.00014018276965470608,0.016908867409513386,True
IFITM2,3.8021367,0.28399163,0.0001434535747707567,0.017236583964733394,True
TET2,-3.796228,-0.09253711,0.00014691444634871555,0.017517155442038423,True
SUN2,3.7969074,0.1453415,0.0001465124714518068,0.017517155442038423,True
RPS19,3.7942288,0.09775426,0.00014810304653766967,0.017591476367375118,True
LSP1,3.7924666,0.15401262,0.0001491583099407868,0.017624165351345752,True
ACTR2,3.7918804,0.08835253,0.00014951091429162204,0.017624165351345752,True
AGAP1,3.7846425,0.2710433,0.00015392966006494841,0.018038087824208956,True
RPS17,3.7842357,0.11272818,0.00015418159901155472,0.018038087824208956,True
RPL24,3.776986,0.13116343,0.00015873766979766904,0.01845218101152695,True
IRAK3,-3.7767203,-0.16780914,0.00015890695729721155,0.01845218101152695,True
HSP90AA1,3.7631886,0.10513754,0.00016776060107900648,0.019407843515162383,True
CALR,3.758713,0.2528494,0.0001707895611862771,0.019685078311544233,True
SIDT1,3.7544637,0.17115471,0.00017371303797115902,0.01994815402827479,True
RASGRP1,3.7489593,0.1616707,0.000177569891166641,0.020316084607006867,True
RPL35A,3.7473264,0.112260014,0.00017872951957719543,0.02037385585803048,True
RNF213-AS1,3.7451885,0.24884577,0.00018025842114721908,0.020473146226647653,True
ACAP1,3.7430315,0.21638301,0.00018181346822650159,0.020574673204395377,True
TRPC4AP,3.739252,0.12759049,0.00018456848401114805,0.020810765298648285,True
MAPK14,-3.7368093,-0.106340125,0.00018637017745328527,0.020938050261177753,True
USP9Y,3.733664,0.1456877,0.00018871414098460207,0.021125122544751136,True
IMMP2L,-3.7281728,-0.1501553,0.0001928730418461346,0.02151329412993444,True
HCST,3.7223084,0.20237459,0.00019740966850721663,0.02194067458551636,True
JAKMIP2,3.7135308,0.296716,0.00020438750477000118,0.022635370635026464,True
FGD4,-3.7074895,-0.1790361,0.00020932419904873305,0.02309989033473962,True
PCSK5,-3.7003293,-0.16953903,0.00021531989791143672,0.023677580293300037,True
PPIB,3.6967857,0.2137091,0.00021834649392966815,0.02384190488102201,True
ERC1,-3.6970549,-0.10028224,0.00021811519254414627,0.02384190488102201,True
CD99,3.6933463,0.12706284,0.00022132235553197258,0.024082348615926525,True
AC004687.1,3.6830685,0.22809862,0.0002304432222936778,0.02498743232675698,True
EIF3K,3.6811364,0.1788354,0.00023219674848564147,0.02509014865580959,True
ZFAND6,-3.6783788,-0.08054524,0.00023472115908790473,0.02525139680431596,True
EMB,3.6777375,0.11365846,0.00023531185968032225,0.02525139680431596,True
HLA-DPA1,3.6748652,0.2287728,0.0002379750497664964,0.025449428002520164,True
BTN3A2,3.6737251,0.25822946,0.00023903993707485207,0.025475763156744508,True
CTSD,3.672512,0.16162853,0.00024017789439963007,0.02550967943247948,True
CALM1,3.669813,0.108086154,0.00024272793951362197,0.02569283495804053,True
EEF1G,3.6651354,0.107983746,0.00024720781952822875,0.026078329978706707,True
TRANK1,3.6589825,0.19714825,0.00025321856782613907,0.026596631613284273,True
SSR2,3.658364,0.224665,0.00025383032098796367,0.026596631613284273,True
MYL12A,3.6463194,0.16694303,0.000266023391359214,0.02778069778221054,True
GBP1,3.6434553,0.4421529,0.00026900242552879987,0.027997844422930608,True
RPS16,3.642424,0.09755721,0.0002700827127070635,0.02801658006481272,True
SLAMF7,3.6415472,0.4562341,0.0002710045305866471,0.02801880728191514,True
KMT2A,3.6381087,0.11674299,0.0002746473867027866,0.028187379301536898,True
RACK1,3.6374485,0.119678974,0.00027535229137748125,0.028187379301536898,True
SSBP2,-3.6380453,-0.14573254,0.0002747149942994737,0.028187379301536898,True
A2M-AS1,3.6346238,0.29197308,0.00027838647024225745,0.028404547389964105,True
PPP1CB,-3.621938,-0.09853473,0.00029240433762555557,0.029737330022572842,True
LINC02100,3.6153665,0.38632095,0.0002999231308520992,0.030402631374975005,True
THEMIS,3.6078832,0.18152563,0.0003087052983826959,0.031191262615810053,True
RPL6,3.6039486,0.11472917,0.00031341916048444263,0.031463239594438246,True
PFDN5,3.6044846,0.14138128,0.00031277313686156735,0.031463239594438246,True
NFATC2,3.5986524,0.19804923,0.00031987048052265865,0.032007618501174076,True
CUL1,3.5919647,0.12401273,0.00032819421248666923,0.03270357879479037,True
TMEM170B,-3.5913835,-0.18118857,0.0003289273831224096,0.03270357879479037,True
ARF6,3.5877428,0.26681986,0.0003335529535388731,0.033051454398458885,True
SESN3,-3.5869641,-0.22916438,0.00033455038995869373,0.033051454398458885,True
JARID2,-3.5793386,-0.090998404,0.00034446490763400176,0.033905201219697666,True
GRAP2,3.578652,0.19432613,0.0003453711049692853,0.033905201219697666,True
SCML4,3.5763705,0.166465,0.00034839780125899347,0.03403217454568906,True
COX4I1,3.5752113,0.1338244,0.0003499452395443605,0.03403217454568906,True
S100A9,3.5752578,0.11750788,0.0003498828347846329,0.03403217454568906,True
SGMS1,-3.5726354,-0.11787487,0.00035340649829550947,0.034261714102667463,True
GBP3,3.5698612,0.35168114,0.00035717042747204254,0.034519079822763865,True
IFI6,3.5673442,0.65704644,0.0003606177985878076,0.034744352606973915,True
SLCO3A1,-3.5658822,-0.06849442,0.00036263428432406746,0.034830799161003026,True
MARCH1,-3.5640602,-0.15654023,0.00036516222497482245,0.034965687511435306,True
SEC11A,3.5598993,0.15624923,0.0003709970665031678,0.03519947777310543,True
PDGFD,3.5604782,0.3428721,0.0003701798991186729,0.03519947777310543,True
AGTPBP1,-3.5608912,-0.037965536,0.0003695984416544663,0.03519947777310543,True
GAB3,3.5572674,0.16262996,0.0003747327625583439,0.03544584671980444,True
TXNIP,3.553706,0.070421375,0.0003798438430785242,0.035820425444253554,True
MEGF9,-3.5510786,-0.15015115,0.0003836557384554708,0.03607059389949925,True
PHACTR2,3.5498285,0.11898198,0.0003854822143147108,0.03613315213696928,True
YWHAB,3.5475543,0.10318174,0.00038882568153971814,0.03633710273127936,True
EPG5,3.5463173,0.14937627,0.00039065563394337783,0.03639881236023328,True
LAMP1,3.54155,0.1603057,0.0003977837492159326,0.03695232918089499,True
A2M,3.539449,0.24728093,0.0004009631842706302,0.037136828257446464,True
ARHGDIA,3.535348,0.19494042,0.00040723848841727774,0.037606117980847724,True
CD3E,3.5334458,0.22480126,0.00041018018371168503,0.03776570212162023,True
PLXDC2,-3.532368,-0.14403537,0.0004118559425831619,0.03780813254627728,True
ABHD17A,3.530462,0.25675294,0.00041483440070631556,0.037969548676413355,True
BRD9,3.524575,0.17795034,0.0004241628218383528,0.03870952203991067,True
BRWD1,-3.5112872,-0.085969985,0.00044594235615361323,0.04057814655994282,True
CST7,3.5073872,0.3024281,0.000452530302901051,0.04105755984338399,True
CD96,3.502957,0.14223243,0.00046012361454849694,0.041625136292875654,True
